Mode,MinSup,MaxPer,PFItemCount,prepare_database,make_transaction,build_tree,upfp_growth,produce_pattern,max_pattern_length,potential_max_length,potential_pattern_count,size_tree
1.0,4096.0,1024.0,25.0,1.7736766779999016,0.0,1.7521699399985664,0.027318375003233086,3.400018613319844e-07,-1.0,-1.0,8.0,5598.0
1.0,4096.0,1024.0,25.0,1.7278412310006388,0.0,1.8546973079974123,0.02445608099878882,5.040019459556788e-07,-1.0,-1.0,8.0,5598.0
1.0,4096.0,1024.0,25.0,1.7177360540008522,0.0,1.7558825890009757,0.025569892997737043,3.3199830795638263e-07,-1.0,-1.0,8.0,5598.0
1.0,4096.0,1024.0,25.0,1.6276588560031087,0.0,1.6853303419993608,0.02351816900045378,4.880021151620895e-07,-1.0,-1.0,8.0,5598.0
1.0,4096.0,2048.0,25.0,1.6996982609998668,0.0,1.8504476730013266,0.03456807900147396,2.058997779386118e-06,-1.0,-1.0,8.0,5598.0
1.0,4096.0,2048.0,25.0,1.7733089909997943,0.0,1.7829059649993724,0.028899987999466248,3.5999983083456755e-07,-1.0,-1.0,8.0,5598.0
1.0,4096.0,2048.0,25.0,1.8507133130005968,0.0,1.9779525140002079,0.05522441799985245,5.949987098574638e-07,-1.0,-1.0,8.0,5598.0
1.0,4096.0,2048.0,25.0,1.783214715000213,0.0,1.7669372820018907,0.02732005100187962,3.309978637844324e-07,-1.0,-1.0,8.0,5598.0
1.0,4096.0,4096.0,25.0,1.8201105330008431,0.0,1.688741915000719,0.025669768001534976,5.67000824958086e-07,-1.0,-1.0,8.0,5598.0
1.0,4096.0,4096.0,25.0,1.6839557539969974,0.0,1.8663360419996025,0.022922422998817638,3.309978637844324e-07,-1.0,-1.0,8.0,5598.0
1.0,4096.0,4096.0,25.0,1.6193493239989039,0.0,1.725766447998467,0.027018688000680413,3.4999902709387243e-07,-1.0,-1.0,8.0,5598.0
1.0,4096.0,4096.0,25.0,1.721118519999436,0.0,1.9883793080007308,0.02650537099907524,3.540008037816733e-07,-1.0,-1.0,8.0,5598.0
1.0,4096.0,8192.0,25.0,1.7101848349993816,0.0,1.7807435949980572,0.030066881998209283,3.540008037816733e-07,-1.0,-1.0,8.0,5598.0
1.0,4096.0,8192.0,25.0,1.6426389129992458,0.0,1.770162453998637,0.03500204699957976,5.969995982013643e-07,-1.0,-1.0,8.0,5598.0
1.0,4096.0,8192.0,25.0,1.7118351309982245,0.0,1.7064139290014282,0.027160833997186273,4.0200029616244137e-07,-1.0,-1.0,8.0,5598.0
1.0,4096.0,8192.0,25.0,1.5443693380002514,0.0,1.7206086260011944,0.028499247000581818,5.350011633709073e-07,-1.0,-1.0,8.0,5598.0
1.0,4096.0,16384.0,25.0,1.6104043740015186,0.0,1.711912606999249,0.02612448899890296,3.7900099414400756e-07,-1.0,-1.0,8.0,5598.0
