MinSup,MaxPer,PFItemCount,prepare_database,make_transaction,build_tree,upfp_growth,produce_pattern
2.0,2048.0,56.0,0.07815024299998186,5.8201976679993095,0.31340133599951514,340.5009893200004,412.2227385139995
2.0,2048.0,56.0,0.10362023299967404,4.284665672001211,0.14638341099998797,267.99996128900057,250.4405488779994
2.0,2048.0,56.0,0.036937757999112364,3.933478226999796,0.15184339100051147,267.49079548899863,248.45642308800052
2.0,2048.0,56.0,0.03730010900108027,3.861918874999901,0.13921665400084748,269.4518630670009,248.74618501199984
2.0,2048.0,56.0,0.03572031400108244,3.8947447370010195,0.16230881299998146,269.47292184599974,245.9424344679992
1.0,2048.0,58.0,0.03631806599878473,3.9907853080003406,0.13910203099840146,682.6914846889995,799.3704699129994
1.0,2048.0,58.0,0.03728194400173379,4.054008226001315,0.13772749800045858,683.3178351880015,794.2422630549991
1.0,2048.0,58.0,0.035937996000939165,3.941570472999956,0.13741380099963862,680.9875206280012,794.4903744509993
1.0,2048.0,58.0,0.034974113001226215,4.0333787399977155,0.23864162400059286,680.4897491539996,795.1245603899988
1.0,2048.0,58.0,0.03558483999950113,3.9454937710033846,0.2829036549992452,675.4940200550009,790.5807461460026
