Mode,MinSup,MaxPer,PFItemCount,prepare_database,make_transaction,build_tree,upfp_growth,produce_pattern,max_pattern_length,potential_max_length,potential_pattern_count,size_tree
2.0,1.0,23170.47500592079,862.0,2.4346415509999133,0.0,12.401296054999875,78.8427226620006,6.51220001799993,9.0,13.0,98235.0,718851.0
2.0,1.0,23170.47500592079,862.0,2.136014624000381,0.0,11.374794156000462,73.1543725800002,5.028235160000804,9.0,13.0,98246.0,718851.0
2.0,1.0,46340.95001184158,867.0,2.351221609999812,0.0,11.843003314999804,112.31987125699924,24.15874428499956,9.0,14.0,312617.0,718913.0
2.0,1.0,46340.95001184158,867.0,2.400297847000729,0.0,12.213736433999657,110.4086916340002,24.160480247000123,9.0,14.0,312687.0,718913.0
2.0,1.0,92681.90002368316,869.0,2.381363604999933,0.0,11.249652858000443,215.7564506589997,1219.507821358,9.0,16.0,1851846.0,718930.0
2.0,1.0,92681.90002368316,869.0,2.466631454999515,0.0,12.389792015999774,229.39969737699903,1247.3917993710002,9.0,16.0,1851827.0,718930.0
2.0,4096.0,23170.47500592079,25.0,2.0607557889998134,0.0,2.092689896000593,0.1047233289991709,0.1165708130010898,1.0,1.0,25.0,5598.0
2.0,4096.0,23170.47500592079,25.0,1.917165376000412,0.0,2.062645247000546,0.1140922000013233,0.1181099149998772,1.0,1.0,25.0,5598.0
2.0,4096.0,46340.95001184158,25.0,1.8956066400005511,0.0,2.1515961659988534,0.0978410570005507,0.1033038609984942,1.0,1.0,25.0,5598.0
2.0,4096.0,46340.95001184158,25.0,1.540052697999272,0.0,1.9522672410003,0.1022043350003514,0.0945289740011503,1.0,1.0,25.0,5598.0
2.0,4096.0,92681.90002368316,25.0,1.832124685000963,0.0,1.9572815270003048,0.109696690000419,0.0944131950000155,1.0,1.0,25.0,5598.0
2.0,4096.0,92681.90002368316,25.0,2.0170316620005906,0.0,1.7523551960002806,0.0846683230010967,0.0546950110001489,1.0,1.0,25.0,5598.0
2.0,2048.0,23170.47500592079,149.0,1.583100903999366,0.0,4.550908249999338,4.297100035999392,0.5259124589993007,1.0,1.0,149.0,219335.0
2.0,2048.0,23170.47500592079,149.0,1.723984221000137,0.0,4.903735873000187,4.037223495000944,0.4728056639996794,1.0,1.0,149.0,219335.0
2.0,2048.0,46340.95001184158,149.0,1.9326200489995244,0.0,5.211913092000032,4.0429796270000224,0.4926507759992091,1.0,1.0,149.0,219335.0
2.0,2048.0,46340.95001184158,149.0,1.8271467390004543,0.0,5.120422121000956,3.946822039000836,0.5112936290006473,1.0,1.0,149.0,219335.0
2.0,2048.0,92681.90002368316,149.0,1.9412373139984995,0.0,4.97125464400051,4.036878227998386,0.5293572219998168,1.0,1.0,149.0,219335.0
2.0,2048.0,92681.90002368316,149.0,1.8335720429986395,0.0,5.515179837000687,3.945777061999252,0.5016022410000005,1.0,1.0,149.0,219335.0
2.0,1024.0,23170.47500592079,370.0,1.94798942899979,0.0,8.57589520900001,11.421838140000546,1.2106656529995234,1.0,3.0,365.0,512746.0
2.0,1024.0,23170.47500592079,370.0,1.884978902999137,0.0,8.747903107998354,11.504871181999988,1.2066671140000835,1.0,3.0,365.0,512746.0
2.0,1024.0,46340.95001184158,370.0,1.9722238949998427,0.0,8.439252129999659,12.207506212000226,1.2414719139997032,1.0,3.0,367.0,512746.0
2.0,1024.0,46340.95001184158,370.0,1.947855176000303,0.0,8.56882677899921,12.046544499999072,1.2323983490005048,1.0,2.0,364.0,512746.0
2.0,1024.0,23170.47500592079,370.0,3.332197982000025,0.0,10.343141713000024,18.08317132100001,3.4481004159999884,1.0,3.0,367.0,512746.0
2.0,1024.0,23170.47500592079,370.0,2.530282378000038,0.0,13.960536417999949,12.26620729800004,1.2628064379999842,1.0,3.0,366.0,512746.0
2.0,1024.0,46340.95001184158,370.0,2.1149834479999754,0.0,8.415085570999963,12.967843583999866,1.2930528480001158,1.0,2.0,366.0,512746.0
2.0,1024.0,46340.95001184158,370.0,2.099029302999952,0.0,8.278322854999942,11.725842006999985,1.4215134050000415,1.0,2.0,366.0,512746.0
2.0,1024.0,92681.90002368316,370.0,2.361849334999988,0.0,8.855022437999878,11.621795475,1.3387557749999814,1.0,3.0,367.0,512746.0
2.0,1024.0,92681.90002368316,370.0,1.9942219120000573,0.0,8.726125941999953,11.542318861000012,1.2834123899999668,1.0,2.0,364.0,512746.0
2.0,512.0,23170.47500592079,567.0,2.195842741999968,0.0,10.158265828999902,16.867171493000114,0.8911361499999657,2.0,6.0,499.0,648671.0
2.0,512.0,23170.47500592079,567.0,2.145037265999917,0.0,9.975308579000057,16.992885606999835,0.8256945059999907,2.0,6.0,489.0,648671.0
2.0,512.0,46340.95001184158,567.0,2.26186466199988,0.0,10.396995726000114,16.79941673999997,0.8364125590001095,2.0,5.0,478.0,648671.0
2.0,512.0,46340.95001184158,567.0,2.1712747149999814,0.0,9.6711618490001,17.235470416,0.8319482770000377,2.0,6.0,493.0,648671.0
2.0,512.0,92681.90002368316,567.0,2.305485874999931,0.0,10.194991082000117,17.51741562999996,0.801102303000107,2.0,6.0,479.0,648671.0
2.0,512.0,92681.90002368316,567.0,2.200432607000039,0.0,10.255633880000005,17.22131996899998,0.9654002670001772,2.0,6.0,514.0,648671.0
2.0,256.0,23170.47500592079,715.0,2.3686493990001054,0.0,10.979784250999955,21.115536611999914,5.084443856999997,3.0,9.0,1614.0,701720.0
2.0,256.0,23170.47500592079,715.0,2.265129194999872,0.0,11.130640764999953,21.898817505999887,5.3238662730000215,3.0,8.0,1604.0,701720.0
2.0,256.0,46340.95001184158,715.0,2.268344543000012,0.0,11.290687916000024,21.787050685000168,6.488764510999999,2.0,8.0,2221.0,701720.0
2.0,256.0,46340.95001184158,715.0,2.289002888999903,0.0,10.84761308499992,21.911630887,8.565330727999935,3.0,8.0,2238.0,701720.0
2.0,256.0,92681.90002368316,715.0,2.347783490999973,0.0,11.710818192000032,22.48581474599996,8.326844996999853,3.0,8.0,2208.0,701720.0
2.0,256.0,92681.90002368316,715.0,2.212146562000044,0.0,11.103244071000065,22.446981640999866,8.78021071499984,2.0,9.0,2273.0,701720.0
2.0,128.0,23170.47500592079,773.0,2.43362842800002,0.0,11.351813360000053,24.74620754900002,19.3897875130001,3.0,10.0,6430.0,712493.0
2.0,128.0,23170.47500592079,773.0,2.3070421380000425,0.0,11.429908610999972,24.83395779800003,19.79474687200013,3.0,10.0,6557.0,712493.0
2.0,128.0,46340.95001184158,773.0,2.3507352400001764,0.0,11.32116896399998,25.824948193000186,36.98195869699998,3.0,10.0,10661.0,712493.0
2.0,128.0,46340.95001184158,773.0,2.3454907880000064,0.0,11.775825166000004,26.62796835899985,38.60637374800013,3.0,10.0,11005.0,712493.0
2.0,128.0,92681.90002368316,773.0,2.335792203999972,0.0,12.237094610999977,24.289607111000123,42.75359714599995,3.0,10.0,12704.0,712493.0
2.0,128.0,92681.90002368316,773.0,2.148825233000025,0.0,10.843327750000071,25.218111169000167,44.22444590299983,3.0,10.0,13112.0,712493.0
2.0,64.0,23170.47500592079,824.0,2.28192187500008,0.0,11.037142060000178,29.90699844400001,17.724338914999862,4.0,10.0,17577.0,717342.0
2.0,64.0,23170.47500592079,824.0,2.271787441000015,0.0,12.003107131999968,29.92279164599995,17.850300530999903,4.0,10.0,17652.0,717342.0
2.0,64.0,46340.95001184158,824.0,2.344833671000288,0.0,10.521165232000383,30.036908537999807,33.032492920000095,4.0,10.0,24245.0,717342.0
2.0,64.0,46340.95001184158,824.0,2.2694566199998008,0.0,11.409493495999868,32.786109677999775,32.92080460299985,4.0,10.0,24687.0,717342.0
2.0,64.0,92681.90002368316,824.0,2.248078405999877,0.0,11.13617199700002,33.03305923800008,55.7913814210001,4.0,10.0,32076.0,717342.0
2.0,64.0,92681.90002368316,824.0,2.2925103869997656,0.0,11.31317920599986,35.13972723500001,55.94328447699991,4.0,10.0,32336.0,717342.0
2.0,32.0,23170.47500592079,850.0,2.2744101279999995,0.0,11.20273120999991,47.15341875800004,11.995949006000046,5.0,11.0,38532.0,718572.0
2.0,32.0,23170.47500592079,850.0,2.312875623000309,0.0,11.181948163000015,44.87415428699978,12.164946436000264,5.0,11.0,38632.0,718572.0
2.0,32.0,46340.95001184158,850.0,2.264989429999787,0.0,11.904717085999891,48.11913203799986,20.10860576300001,5.0,11.0,43311.0,718572.0
2.0,32.0,46340.95001184158,850.0,2.2745840319998933,0.0,11.346405503999904,45.408281865999925,19.6597373640002,5.0,11.0,42953.0,718572.0
