Mode,MinSup,MaxPer,PFItemCount,prepare_database,make_transaction,build_tree,upfp_growth,produce_pattern,max_pattern_length,potential_max_length,potential_pattern_count,size_tree
2.0,4.0,23170.47500592079,862.0,2.6312711239952478,0.0,11.691804384005081,72.74690640500194,6.080008461140096e-07,-1.0,-1.0,98282.0,718851.0
2.0,4.0,23170.47500592079,862.0,2.2881280229994445,0.0,11.090694106998853,71.85859039799834,6.129994289949536e-07,-1.0,-1.0,98116.0,718851.0
2.0,4.0,46340.95001184158,867.0,2.316391255997587,0.0,11.139910990998033,102.05324950400245,7.279959390871227e-07,-1.0,-1.0,253931.0,718913.0
2.0,4.0,46340.95001184158,867.0,2.073430714997812,0.0,12.214250338998681,101.21773967999616,4.109970177523792e-07,-1.0,-1.0,253889.0,718913.0
2.0,4.0,92681.90002368316,869.0,2.221107157994993,0.0,10.684811947998242,127.11335008899914,4.040048224851489e-07,-1.0,-1.0,488446.0,718930.0
2.0,4.0,92681.90002368316,869.0,2.2982139919986366,0.0,11.611908135004342,127.09755437299464,3.980021574534476e-07,-1.0,-1.0,488716.0,718930.0
2.0,2.0,23170.47500592079,862.0,2.2771207589976257,0.0,11.058645090000937,73.06651402000716,7.010021363385022e-07,-1.0,-1.0,98236.0,718851.0
2.0,2.0,23170.47500592079,862.0,2.1778544609987875,0.0,12.186619650005014,75.09236789999704,1.3850003597326577e-06,-1.0,-1.0,98188.0,718851.0
2.0,2.0,46340.95001184158,867.0,2.3057664840016514,0.0,11.447993072993995,109.02739036399726,4.2800093069672585e-07,-1.0,-1.0,308055.0,718913.0
2.0,2.0,46340.95001184158,867.0,2.310052328997699,0.0,11.86836257899995,107.41653465599666,8.659990271553397e-07,-1.0,-1.0,308178.0,718913.0
2.0,2.0,92681.90002368316,869.0,2.292334646001109,0.0,11.021757748996606,179.16959590300394,4.81995812151581e-07,-1.0,-1.0,1305694.0,718930.0
2.0,2.0,92681.90002368316,869.0,2.2090782099985518,0.0,11.081686074001482,177.27506261099916,4.0600571082904935e-07,-1.0,-1.0,1305867.0,718930.0
2.0,1.0,23170.47500592079,862.0,2.365867062995676,0.0,11.217954822997854,72.42162380199443,3.590030246414244e-07,-1.0,-1.0,98176.0,718851.0
2.0,1.0,23170.47500592079,862.0,2.272292096000456,0.0,11.537946264004859,70.65653642300458,3.629975253716111e-07,-1.0,-1.0,98139.0,718851.0
2.0,1.0,46340.95001184158,867.0,2.0492453549959464,0.0,10.563795894006034,105.66437934999703,4.6000059228390455e-07,-1.0,-1.0,312597.0,718913.0
2.0,1.0,46340.95001184158,867.0,2.1080172969959676,0.0,10.809255818996462,106.52385151600174,4.3699401430785656e-07,-1.0,-1.0,312662.0,718913.0
2.0,1.0,92681.90002368316,869.0,2.1696397740015527,0.0,10.649342575001356,205.29808632800268,6.120026228018105e-07,-1.0,-1.0,1852037.0,718930.0
2.0,1.0,92681.90002368316,869.0,2.101043471004232,0.0,10.762116246005462,182.03649639800278,4.2000465327873826e-07,-1.0,-1.0,1852081.0,718930.0
