Mode,MinSup,MaxPer,PFItemCount,prepare_database,make_transaction,build_tree,upfp_growth,produce_pattern,max_pattern_length,potential_max_length,potential_pattern_count,size_tree
2.0,2.0,64.0,26.0,0.0412724620036897,0.0,0.2868367080009193,0.5823272920024465,3.2000389182940125e-07,-1.0,-1.0,1222.0,5295.0
2.0,2.0,128.0,43.0,0.0409859960054745,0.0,0.2448220090009272,1.8975080189993605,3.0099909054115415e-07,-1.0,-1.0,7180.0,12917.0
2.0,2.0,128.0,43.0,0.0410363400005735,0.0,0.3302300499999546,1.9172833549964707,3.399982233531773e-07,-1.0,-1.0,7180.0,12917.0
2.0,2.0,256.0,56.0,0.041103887000645,0.0,0.3643745219960692,4.982714136996947,3.180030034855008e-07,-1.0,-1.0,30882.0,22433.0
2.0,2.0,256.0,56.0,0.0493196660027024,0.0,0.3791285379993496,4.984224920000997,3.649984137155116e-07,-1.0,-1.0,30882.0,22433.0
2.0,2.0,512.0,65.0,0.045306198997423,0.0,0.3758486890001222,37.24862717799988,3.259992809034884e-07,-1.0,-1.0,609254.0,25047.0
2.0,2.0,512.0,65.0,0.0431396389976725,0.0,0.3694541340009891,37.29555201900075,3.0200317269191146e-07,-1.0,-1.0,609254.0,25047.0
2.0,1.0,64.0,26.0,0.0458232890014187,0.0,0.2325697359992773,0.5791269569963333,3.270033630542457e-07,-1.0,-1.0,1222.0,5295.0
2.0,1.0,64.0,26.0,0.0401640220006811,0.0,0.2036849360010819,0.5718255889951251,3.379973350092769e-07,-1.0,-1.0,1222.0,5295.0
2.0,1.0,128.0,43.0,0.0401146000003791,0.0,0.3237674260017229,1.9155199950037056,3.780005499720573e-07,-1.0,-1.0,7180.0,12917.0
2.0,1.0,128.0,43.0,0.0405271389972767,0.0,0.2444205020001391,1.9771212150008068,3.0999945010989904e-07,-1.0,-1.0,7180.0,12917.0
2.0,1.0,256.0,56.0,0.0403695630011498,0.0,0.2784185560012702,5.042008192001958,4.3799809645861387e-07,-1.0,-1.0,30882.0,22433.0
2.0,1.0,256.0,56.0,0.0406784750011866,0.0,0.2793107100005727,5.038470643994515,2.9700458981096745e-07,-1.0,-1.0,30882.0,22433.0
2.0,1.0,512.0,65.0,0.0407659219999914,0.0,0.2894276490042102,37.345759064999584,4.059984348714352e-07,-1.0,-1.0,611521.0,25047.0
2.0,1.0,512.0,65.0,0.041842054000881,0.0,0.2866802869975799,37.3538949030044,3.140012267977e-07,-1.0,-1.0,611521.0,25047.0
1.0,1024.0,64.0,24.0,0.0705497140006627,0.0,0.2905953410008806,0.3235498930007452,9.740033419802785e-07,-1.0,-1.0,537.0,4235.0
1.0,1024.0,64.0,24.0,0.0755503149994183,0.0,0.2526747789961518,0.3121373360045254,3.110035322606564e-07,-1.0,-1.0,537.0,4235.0
1.0,1024.0,64.0,24.0,0.0502966840067529,0.0,0.2463322990006418,0.3220508559970767,3.0099909054115415e-07,-1.0,-1.0,537.0,4235.0
1.0,1024.0,64.0,24.0,0.0553973379937815,0.0,0.2537586749967886,0.3144826630013995,3.7300196709111333e-07,-1.0,-1.0,537.0,4235.0
1.0,1024.0,128.0,25.0,0.0854193559935083,0.0,0.340276578994235,0.3741419480065815,3.3700052881613374e-07,-1.0,-1.0,773.0,4659.0
1.0,1024.0,128.0,25.0,0.0459516160044586,0.0,0.2910902229996281,0.3734323070020764,4.270041245035827e-07,-1.0,-1.0,773.0,4659.0
1.0,1024.0,128.0,25.0,0.0563356040001963,0.0,0.4216588889976265,0.34674508900207,3.1499803299084306e-07,-1.0,-1.0,773.0,4659.0
1.0,1024.0,128.0,25.0,0.055884553999931,0.0,0.340984677997767,0.4051583769978606,6.400005077011883e-07,-1.0,-1.0,773.0,4659.0
1.0,1024.0,256.0,29.0,0.0553139260009629,0.0,0.449061557999812,0.4672598359975382,3.390014171600342e-07,-1.0,-1.0,1097.0,7242.0
1.0,1024.0,256.0,29.0,0.0545181680063251,0.0,0.3211581600044155,0.4132251949995407,2.849992597475648e-07,-1.0,-1.0,1097.0,7242.0
1.0,1024.0,256.0,29.0,0.0593879649968585,0.0,0.3051450819984893,0.3950270519999321,3.179957275278867e-07,-1.0,-1.0,1097.0,7242.0
1.0,1024.0,256.0,29.0,0.0567721289990004,0.0,0.4943426870013354,0.3892244919989025,3.579989424906671e-07,-1.0,-1.0,1097.0,7242.0
1.0,1024.0,512.0,30.0,0.0607140119973337,0.0,0.2850432499981252,0.4370402389977244,3.140012267977e-07,-1.0,-1.0,1480.0,7880.0
1.0,1024.0,512.0,30.0,0.0530446779957856,0.0,0.3032766410033218,0.4297791179997148,1.951004378497601e-06,-1.0,-1.0,1480.0,7880.0
1.0,1024.0,512.0,30.0,0.0597301460002199,0.0,0.3340109829950961,0.4482160620027571,4.159956006333232e-07,-1.0,-1.0,1480.0,7880.0
1.0,1024.0,512.0,30.0,0.0635090450014104,0.0,0.322720730000583,0.4241229769977508,5.179972504265606e-07,-1.0,-1.0,1480.0,7880.0
1.0,512.0,64.0,26.0,0.0637475289986468,0.0,0.4313345229966216,0.577973377003218,3.309978637844324e-07,-1.0,-1.0,833.0,5295.0
1.0,512.0,64.0,26.0,0.0537191979965427,0.0,0.2851341929999762,0.5611729960000957,3.57002136297524e-07,-1.0,-1.0,833.0,5295.0
1.0,512.0,64.0,26.0,0.089082849000988,0.0,0.2901711179947597,0.6064694500018959,4.849935066886246e-07,-1.0,-1.0,833.0,5295.0
1.0,512.0,64.0,26.0,0.0535955570012447,0.0,0.3077405300064129,0.5732154099969193,5.559995770454407e-07,-1.0,-1.0,833.0,5295.0
1.0,512.0,128.0,39.0,0.0553119760006666,0.0,0.4295072149980115,0.9259445130010135,3.399982233531773e-07,-1.0,-1.0,1553.0,11484.0
1.0,512.0,128.0,39.0,0.0495322290007607,0.0,0.2946182679952471,0.9033528810032294,2.929955371655524e-07,-1.0,-1.0,1553.0,11484.0
1.0,512.0,128.0,39.0,0.0616641270025866,0.0,0.3327509119990282,0.9885254449982313,3.259992809034884e-07,-1.0,-1.0,1553.0,11484.0
1.0,512.0,128.0,39.0,0.0526115980028407,0.0,0.4562489879972418,0.8959726079992834,6.949994713068008e-07,-1.0,-1.0,1553.0,11484.0
1.0,512.0,256.0,48.0,0.0558327809994807,0.0,0.3872692880031536,1.274023689002206,7.2900002123788e-07,-1.0,-1.0,2613.0,20057.0
1.0,512.0,256.0,48.0,0.0632946490004542,0.0,0.5084547070000554,1.2346583460021066,3.349996404722333e-07,-1.0,-1.0,2613.0,20057.0
1.0,512.0,256.0,48.0,0.0518420139997033,0.0,0.5304683309950633,1.3544889030017655,3.930035745725036e-07,-1.0,-1.0,2613.0,20057.0
1.0,512.0,256.0,48.0,0.0573371060017962,0.0,0.4258270939972135,1.29659040900151,3.379973350092769e-07,-1.0,-1.0,2613.0,20057.0
1.0,512.0,512.0,51.0,0.0516654460006975,0.0,0.5097369590002927,1.453400493002846,3.4699769457802176e-07,-1.0,-1.0,3774.0,22153.0
1.0,512.0,512.0,51.0,0.0554198870013351,0.0,0.5125514780011144,1.450055377004901,5.069960025139153e-07,-1.0,-1.0,3774.0,22153.0
1.0,512.0,512.0,51.0,0.0786358520053909,0.0,0.3544022060013958,1.429117545005283,3.480017767287791e-07,-1.0,-1.0,3774.0,22153.0
1.0,512.0,512.0,51.0,0.0641771080045146,0.0,0.5428822970061447,1.4275050819996975,3.070017555728555e-07,-1.0,-1.0,3774.0,22153.0
1.0,256.0,64.0,26.0,0.0578697659948375,0.0,0.3113541079947026,0.6412705149996327,3.440000000409782e-07,-1.0,-1.0,1089.0,5295.0
1.0,256.0,64.0,26.0,0.0504919669983792,0.0,0.2970795240034931,0.7635520650001126,3.970053512603045e-07,-1.0,-1.0,1089.0,5295.0
1.0,256.0,64.0,26.0,0.0545933870016597,0.0,0.4475781090004602,0.7435351520034601,9.4899587566033e-07,-1.0,-1.0,1089.0,5295.0
1.0,256.0,64.0,26.0,0.0586487710024812,0.0,0.3553051280032377,0.6672044070000993,2.939996193163097e-07,-1.0,-1.0,1089.0,5295.0
1.0,256.0,128.0,42.0,0.0503345800025272,0.0,0.3397405829964555,1.5857590329978848,5.059991963207722e-07,-1.0,-1.0,2994.0,12718.0
1.0,256.0,128.0,42.0,0.0552171529998304,0.0,0.4793801060004625,1.5901794930032338,3.079985617659986e-07,-1.0,-1.0,2994.0,12718.0
1.0,256.0,128.0,42.0,0.0428648660017643,0.0,0.3021277250009007,1.2953438520053169,3.699969965964556e-07,-1.0,-1.0,2994.0,12718.0
1.0,256.0,128.0,42.0,0.0404869479971239,0.0,0.3385986649955157,1.2391021189978346,3.029999788850546e-07,-1.0,-1.0,2994.0,12718.0
1.0,256.0,256.0,52.0,0.042485902995395,0.0,0.2886521640029968,2.048727166999015,2.95003701467067e-07,-1.0,-1.0,5865.0,21961.0
1.0,256.0,256.0,52.0,0.0403220360021805,0.0,0.2721000809979159,1.997259796000435,3.809982445091009e-07,-1.0,-1.0,5865.0,21961.0
1.0,256.0,256.0,52.0,0.0467146369992406,0.0,0.6373466520017246,1.9899679529989955,3.349996404722333e-07,-1.0,-1.0,5865.0,21961.0
1.0,256.0,256.0,52.0,0.0408484669969766,0.0,0.5360612369986484,2.0023509610036854,2.849992597475648e-07,-1.0,-1.0,5865.0,21961.0
1.0,256.0,512.0,56.0,0.0546197359944926,0.0,0.6071245109997108,2.6761331599991536,3.110035322606564e-07,-1.0,-1.0,10565.0,24370.0
1.0,256.0,512.0,56.0,0.0463667110016103,0.0,0.3918273340023006,2.367149239995342,4.429966793395579e-07,-1.0,-1.0,10565.0,24370.0
1.0,256.0,512.0,56.0,0.0412305749996448,0.0,0.3741244910052046,2.455553943000268,3.930035745725036e-07,-1.0,-1.0,10565.0,24370.0
1.0,256.0,512.0,56.0,0.0413136559945996,0.0,0.3790354080047109,2.372564268000133,3.2000389182940125e-07,-1.0,-1.0,10565.0,24370.0
1.0,128.0,64.0,26.0,0.0408456239965744,0.0,0.2013931730034528,0.5564623169993865,4.029934643767774e-07,-1.0,-1.0,1159.0,5295.0
1.0,128.0,64.0,26.0,0.0403731680053169,0.0,0.2062170240023988,0.6420351719934843,4.120010999031365e-07,-1.0,-1.0,1159.0,5295.0
1.0,128.0,64.0,26.0,0.0406633360034902,0.0,0.202858078002464,0.6332655410005827,3.219975042156875e-07,-1.0,-1.0,1159.0,5295.0
1.0,128.0,64.0,26.0,0.0434241900002234,0.0,0.2723892750000232,0.6618239719973644,4.81995812151581e-07,-1.0,-1.0,1159.0,5295.0
1.0,128.0,128.0,43.0,0.0666601859993534,0.0,0.249040516995592,1.7797356669980218,3.120003384537995e-07,-1.0,-1.0,4421.0,12917.0
1.0,128.0,128.0,43.0,0.0410801390025881,0.0,0.2437994430001708,1.6085200889938278,4.33996319770813e-07,-1.0,-1.0,4421.0,12917.0
1.0,128.0,128.0,43.0,0.0411214839987224,0.0,0.3300726620000205,1.758078127997578,4.110042937099934e-07,-1.0,-1.0,4421.0,12917.0
1.0,128.0,128.0,43.0,0.0412989329997799,0.0,0.2619885280000744,1.7694197700038783,3.429959178902209e-07,-1.0,-1.0,4421.0,12917.0
1.0,128.0,256.0,53.0,0.0415023589957854,0.0,0.3232713679972221,3.4455707279994385,2.759989001788199e-07,-1.0,-1.0,9223.0,22184.0
1.0,128.0,256.0,53.0,0.0409730829996988,0.0,0.2812115810011164,3.429795527001261,3.079985617659986e-07,-1.0,-1.0,9223.0,22184.0
1.0,128.0,256.0,53.0,0.061013243997877,0.0,0.4012576090026414,3.5192406179994578,3.410023055039346e-07,-1.0,-1.0,9223.0,22184.0
1.0,128.0,256.0,53.0,0.0531964969995897,0.0,0.562549273003242,3.428572527998768,3.66999302059412e-07,-1.0,-1.0,9223.0,22184.0
1.0,128.0,512.0,57.0,0.052364351999131,0.0,0.573165011999663,4.717759944003774,3.1500530894845724e-07,-1.0,-1.0,19543.0,24593.0
1.0,128.0,512.0,57.0,0.0435553559946129,0.0,0.3825208019989077,4.029391336000117,3.770037437789142e-07,-1.0,-1.0,19543.0,24593.0
